Index,water_solubility,nΔL,f_max
1/43,0.03466950769120998,167.82,0.2518
1/44,0.638438873877344,0.0,0.146
1/45,0.23028267022793225,279.03,0.1617
1/46,0.052852401312749986,237.83999999999992,0.1836
1/47,0.014802529551736705,186.04000000000008,0.2099
1/48,0.1867945075884535,286.79999999999995,0.1167
1/49,0.05019959225013281,332.79999999999995,0.1555
2/0,0.0029586382740082314,1161.5500000000002,0.4367
2/1,0.0036285026082287556,449.1199999999999,0.554
2/2,1.148350790055115,1283.0999999999997,0.3368
2/3,21.17610161106568,401.09999999999997,0.1932
2/4,28.833555994813135,0.0,0.3808
2/5,0.4543326713246147,431.40000000000015,0.4389
2/6,2.5363995258958187,439.5,0.2416
2/7,1.3916898261742918,393.76,0.253
2/8,0.05466283374649454,343.1600000000001,0.4595
2/9,3.148749442814861,423.93,0.0932
2/10,0.5244929155648849,384.3599999999999,0.4247
2/11,25.604178199610228,145.58999999999992,0.3126
2/12,18.06386317861125,0.0,0.3978
2/13,23.13145427906152,99.51000000000005,0.2404
2/14,5.2633841564848565,154.34000000000003,0.1607
2/15,0.9763090359822603,736.7499999999998,0.182
2/16,0.06306120884591951,655.92,0.2035
2/17,0.24108785373407735,410.9000000000001,0.3788
2/18,0.0011352040825407617,705.95,0.3574
2/19,4.686952867838577,208.53000000000014,0.1432
2/20,12.87500080558543,276.53999999999996,0.0714
2/21,0.030432749355794358,970.76,0.2397
2/22,2.936709981165374,312.0600000000001,0.116
2/23,3.960001201771651,294.0,0.1725
2/24,2.463192036513004,320.9200000000001,0.2222
2/25,0.2475460669063798,538.74,0.2298
2/26,0.009914993300645044,593.0400000000002,0.3093
2/27,0.04826023469613318,370.08000000000004,0.4134
2/28,0.11489122491334826,0.0,0.4223
2/29,0.002125414661517136,993.7899999999997,0.2284
2/30,0.6820804945408457,553.02,0.116
2/31,2.3671014634755823,372.80999999999995,0.1861
2/32,0.2599721461936078,468.4799999999999,0.175
2/33,0.014479598357536028,389.65000000000003,0.3417
2/34,2.9489995904565047,0.0,0.3204
2/35,0.09302251901774469,227.92000000000007,0.3429
2/36,0.035419740192351244,459.6400000000001,0.1871
2/37,0.1336609005012206,195.93,0.3466
2/38,0.45630623628836386,429.30000000000007,0.1807
2/39,0.6286236826638377,242.64999999999986,0.228
2/40,0.008152343336533857,654.35,0.2024
2/41,0.5478993122497626,327.48,0.2038
2/42,10.529049815385,0.0,0.2423
2/43,2.481505468451,0.0,0.2971
2/44,0.024936476812354936,489.72,0.1831
2/45,0.04728964061766557,217.5,0.4057
2/46,0.11136701046403537,270.03000000000014,0.2779
2/47,0.18840905519049422,213.15000000000003,0.327
2/48,0.0005055055109779236,524.7,0.2736
2/49,0.07858963156973842,244.68,0.314
3/0,0.0029586382740082314,1161.5500000000002,0.4367
3/1,0.0036285026082287556,449.1199999999999,0.554
3/2,1.148350790055115,1283.0999999999997,0.3368
3/3,21.17610161106568,401.09999999999997,0.1932
3/4,0.4543326713246147,431.40000000000015,0.4389
3/5,2.5363995258958187,439.5,0.2416
3/6,1.3916898261742918,393.76,0.253
3/7,0.05466283374649454,343.1600000000001,0.4595
3/8,0.5244929155648849,384.3599999999999,0.4247
3/9,25.604178199610228,145.58999999999992,0.3126
3/10,3.255992896781329,168.1199999999999,0.2922
3/11,97.20696664197749,0.0,0.4958
3/12,0.013076892008367261,534.99,0.3611
3/13,0.8081510012000038,362.64,0.3485
3/14,0.45614772604028603,434.1600000000001,0.3903
3/15,8.497029113995476,253.85999999999984,0.2486
3/16,13.856031774679654,538.7,0.2236
3/17,27.756974228443934,125.94000000000005,0.2693
3/18,28.833555994813135,0.0,0.3808
3/19,3.148749442814861,423.93,0.0932
3/20,18.06386317861125,0.0,0.3978
3/21,0.9763090359822603,736.7499999999998,0.182
3/22,0.0011352040825407617,705.95,0.3574
3/23,0.2475460669063798,538.74,0.2298
3/24,0.009914993300645044,593.0400000000002,0.3093
3/25,0.00822422337139322,759.8999999999999,0.3089
3/26,0.04595465362313709,1047.2400000000002,0.3007
3/27,0.055350001777623115,566.8199999999998,0.3292
3/28,0.08361685159085995,641.0999999999999,0.2352
3/29,0.08719228222375282,1151.6799999999998,0.1953
3/30,0.6167739605599076,680.1600000000001,0.2191
3/31,1.5188465112696856,469.80000000000007,0.21
3/32,23.13145427906152,99.51000000000005,0.2404
3/33,0.06306120884591951,655.92,0.2035
3/34,0.24108785373407735,410.9000000000001,0.3788
3/35,12.87500080558543,276.53999999999996,0.0714
3/36,0.030432749355794358,970.76,0.2397
3/37,2.936709981165374,312.0600000000001,0.116
3/38,3.960001201771651,294.0,0.1725
3/39,2.463192036513004,320.9200000000001,0.2222
3/40,0.04826023469613318,370.08000000000004,0.4134
3/41,0.6820804945408457,553.02,0.116
3/42,0.031897621307744366,745.08,0.2717
3/43,0.693073806052059,182.7000000000001,0.2645
3/44,5.2633841564848565,154.34000000000003,0.1607
3/45,4.686952867838577,208.53000000000014,0.1432
3/46,0.11489122491334826,0.0,0.4223
3/47,0.002125414661517136,993.7899999999997,0.2284
3/48,2.3671014634755823,372.80999999999995,0.1861
3/49,0.014479598357536028,389.65000000000003,0.3417
4/0,0.0029586382740082314,1161.5500000000002,0.4367
4/1,0.0036285026082287556,449.1199999999999,0.554
4/2,1.148350790055115,1283.0999999999997,0.3368
4/3,21.17610161106568,401.09999999999997,0.1932
4/4,0.4543326713246147,431.40000000000015,0.4389
4/5,0.5244929155648849,384.3599999999999,0.4247
4/6,25.604178199610228,145.58999999999992,0.3126
4/7,97.20696664197749,0.0,0.4958
4/8,0.8081510012000038,362.64,0.3485
4/9,0.45614772604028603,434.1600000000001,0.3903
4/10,13.856031774679654,538.7,0.2236
4/11,27.756974228443934,125.94000000000005,0.2693
4/12,11.160004825637102,317.9200000000001,0.3118
4/13,12.355689792163663,212.45999999999998,0.2447
4/14,0.9472695166363589,121.22000000000003,0.3742
4/15,0.09541039292871475,342.48,0.4621
4/16,0.6268117164640278,130.72000000000003,0.3762
4/17,0.3207899172151413,1497.6000000000001,0.3556
4/18,0.06418621601032329,870.1200000000002,0.4993
4/19,4.911022495824986,1999.5500000000002,0.2803
4/20,0.14191833876918386,2717.5199999999995,0.3783
4/21,2.5363995258958187,439.5,0.2416
4/22,1.3916898261742918,393.76,0.253
4/23,0.05466283374649454,343.1600000000001,0.4595
4/24,3.255992896781329,168.1199999999999,0.2922
4/25,8.497029113995476,253.85999999999984,0.2486
4/26,28.833555994813135,0.0,0.3808
4/27,18.06386317861125,0.0,0.3978
4/28,0.3439611946896364,974.3999999999999,0.3262
4/29,1.0478441514303667,171.8800000000001,0.3122
4/30,0.013076892008367261,534.99,0.3611
4/31,3.148749442814861,423.93,0.0932
4/32,0.9763090359822603,736.7499999999998,0.182
4/33,0.6167739605599076,680.1600000000001,0.2191
4/34,1.5188465112696856,469.80000000000007,0.21
4/35,23.13145427906152,99.51000000000005,0.2404
4/36,0.24108785373407735,410.9000000000001,0.3788
4/37,12.87500080558543,276.53999999999996,0.0714
4/38,0.07379822293585234,520.4399999999998,0.3526
4/39,1.6606853436944604,357.52,0.2357
4/40,0.0011352040825407617,705.95,0.3574
4/41,0.04595465362313709,1047.2400000000002,0.3007
4/42,2.463192036513004,320.9200000000001,0.2222
4/43,0.04826023469613318,370.08000000000004,0.4134
4/44,0.6820804945408457,553.02,0.116
4/45,0.11489122491334826,0.0,0.4223
4/46,0.2475460669063798,538.74,0.2298
4/47,0.055350001777623115,566.8199999999998,0.3292
4/48,0.08719228222375282,1151.6799999999998,0.1953
