Index,water_solubility,nΔL,f_max
7/25,5.790403885922548,0.0,0.4715
7/26,4.230488891317001,789.7800000000002,0.4451
7/27,0.6628858689589594,284.78,0.5273
7/28,0.7846244673703301,1491.1200000000001,0.4439
7/29,12.53956700215924,226.45999999999992,0.1259
7/30,18.898135114270975,158.30999999999995,0.2372
7/31,22.675879797515748,26.100000000000023,0.1896
7/32,2.6504443186984084,487.64,0.5204
7/33,2.282631678349107,268.5,0.6161
7/34,4.65513973559499,221.9599999999998,0.572
7/35,2.299967122004554,906.39,0.4394
7/36,0.3895868856860438,460.07999999999987,0.4942
7/37,2.1394024504703024,417.0899999999999,0.5172
7/38,1.0890819037599986,812.79,0.4553
7/39,0.10215227355135825,2264.29,0.3136
7/40,1.137297502697327,1630.05,0.2522
7/41,2.6082969417600306,1107.36,0.3632
7/42,0.8299424631372387,1051.05,0.4781
7/43,1.4403303868929203,1743.85,0.1575
7/44,16.088279784610954,180.91999999999996,0.1582
7/45,27.14730550543373,56.48999999999995,0.1074
7/46,4.853917652792519,1375.0,0.226
7/47,5.272913731730704,948.8399999999999,0.3671
7/48,2.5978232153142873,349.31999999999994,0.4762
7/49,0.11246050424680126,2037.78,0.329
8/0,0.23885014260943607,176.51999999999987,0.6455
8/1,5.06441388066828,1194.8799999999999,0.3569
8/2,5.973276248952975,1567.8,0.3414
8/3,7.575343293100205,1134.72,0.3688
8/4,2.6173711012161234,2732.5799999999995,0.2995
8/5,0.8615190707818138,1110.36,0.4859
8/6,1.0098577170708802,2830.3999999999996,0.3543
8/7,31.094701832511262,274.86,0.2593
8/8,3.5224584629731983,2303.63,0.335
8/9,0.5810567142029758,2217.81,0.3607
8/10,8.646450966528336,1040.6100000000001,0.5929
8/11,4.047874264553691,269.20000000000005,0.6179
8/12,4.168376412511959,1629.3000000000002,0.4822
8/13,10.87233532491996,1560.4800000000002,0.351
8/14,0.4244444137804901,292.44000000000005,0.6429
8/15,7.001046621808569,1125.9599999999998,0.3797
8/16,188.6334624045121,225.54000000000002,0.4864
8/17,40.92309941740712,178.29000000000002,0.5055
8/18,41.93942051684431,119.34000000000009,0.0915
8/19,34.15398929496024,197.04000000000002,0.16
8/20,9.243037894451719,764.01,0.3428
8/21,2.3047014363500735,1337.68,0.3608
8/22,0.13991433349179327,907.26,0.5386
8/23,7.868452484910242,786.7800000000002,0.4341
8/24,1.0819403429479075,1103.2799999999997,0.4744
8/25,4.230488891317001,789.7800000000002,0.4451
8/26,0.7846244673703301,1491.1200000000001,0.4439
8/27,12.53956700215924,226.45999999999992,0.1259
8/28,2.6504443186984084,487.64,0.5204
8/29,2.282631678349107,268.5,0.6161
8/30,4.65513973559499,221.9599999999998,0.572
8/31,1.6274094292101209,1906.02,0.3068
8/32,2.242333923447966,1061.31,0.469
8/33,0.7917298731334227,339.79999999999995,0.5864
8/34,8.935077284864832,0.0,0.3909
8/35,0.38191082565287704,309.17999999999995,0.5207
8/36,0.6628050242892896,284.81999999999994,0.5273
8/37,0.6628858689589594,284.78,0.5273
8/38,2.299967122004554,906.39,0.4394
8/39,0.3895868856860438,460.07999999999987,0.4942
8/40,2.1394024504703024,417.0899999999999,0.5172
8/41,0.10215227355135825,2264.29,0.3136
8/42,0.8299424631372387,1051.05,0.4781
8/43,4.853917652792519,1375.0,0.226
8/44,15.285787828378885,0.0,0.2822
8/45,5.891758433326578,576.6800000000001,0.3865
8/46,15.284397740920447,0.0,0.2821
8/47,5.790403885922548,0.0,0.4715
8/48,18.898135114270975,158.30999999999995,0.2372
8/49,22.675879797515748,26.100000000000023,0.1896
9/0,0.23885014260943607,176.51999999999987,0.6455
9/1,5.06441388066828,1194.8799999999999,0.3569
9/2,5.973276248952975,1567.8,0.3414
9/3,7.575343293100205,1134.72,0.3688
9/4,2.6173711012161234,2732.5799999999995,0.2995
9/5,0.8615190707818138,1110.36,0.4859
9/6,1.0098577170708802,2830.3999999999996,0.3543
9/7,31.094701832511262,274.86,0.2593
9/8,3.5224584629731983,2303.63,0.335
9/9,0.5810567142029758,2217.81,0.3607
9/10,8.646450966528336,1040.6100000000001,0.5929
9/11,4.047874264553691,269.20000000000005,0.6179
9/12,4.168376412511959,1629.3000000000002,0.4822
9/13,10.87233532491996,1560.4800000000002,0.351
9/14,0.4244444137804901,292.44000000000005,0.6429
9/15,7.001046621808569,1125.9599999999998,0.3797
9/16,188.6334624045121,225.54000000000002,0.4864
9/17,40.92309941740712,178.29000000000002,0.5055
9/18,4.408032019654477,3782.0,0.2365
9/19,2.7967605989371562,976.7100000000002,0.6045
9/20,1.6997526799629714,1935.5,0.3692
9/21,41.93942051684431,119.34000000000009,0.0915
9/22,34.15398929496024,197.04000000000002,0.16
9/23,9.243037894451719,764.01,0.3428
9/24,2.3047014363500735,1337.68,0.3608
